#{"t_start": 1641322052.056341, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
110.0,1568,6.32434
165.0,2326,7.010539
320.0,2444,7.724585
95.0,1890,8.281922
110.0,1660,8.768959
55.0,1276,9.145254
135.0,2150,9.775393
45.0,1490,10.21815
365.0,3602,11.262748
180.0,2172,11.901314
315.0,3030,12.779292
260.0,3484,13.79002
145.0,1816,14.324566
50.0,1226,14.683589
320.0,2374,15.378313
110.0,1972,15.955407
65.0,1136,16.289811
35.0,1384,16.696284
345.0,3568,17.721639
40.0,1598,25.265964
40.0,1722,25.771415
120.0,1972,26.351549
110.0,2264,27.012656
180.0,1860,27.557469
120.0,2066,28.166293
35.0,1152,28.503545
155.0,2380,29.192633
75.0,1218,29.549741
155.0,1862,30.09734
130.0,1482,30.533521
490.0,3342,31.506862
210.0,2430,32.21475
165.0,1836,32.752481
100.0,1588,33.218543
225.0,2486,33.94524
75.0,1558,34.405362
35.0,1298,34.788747
180.0,2592,35.545136
100.0,1220,35.904397
35.0,1250,36.270843
105.0,1898,36.827366
125.0,1502,44.144976
225.0,2424,44.851144
225.0,3068,45.742429
380.0,2572,46.497021
135.0,2432,47.204906
210.0,1826,47.741096
105.0,1774,48.259191
360.0,2256,48.916588
95.0,2754,49.724121
80.0,1514,50.166638
210.0,2212,50.812563
110.0,1924,51.37906
120.0,2066,51.984372
110.0,1460,52.413224
110.0,2100,53.02692
225.0,2486,53.752108
30.0,1458,54.182479
175.0,2620,54.952959
110.0,1846,55.494084
120.0,1888,62.981238
110.0,1482,63.413478
20.0,1166,63.758756
80.0,2524,64.495876
320.0,3350,65.470788
230.0,2456,66.185104
80.0,1142,66.522123
65.0,1160,66.861921
135.0,1868,67.410148
255.0,2798,68.225027
35.0,1668,68.71796
135.0,1512,69.162784
135.0,1810,69.69184
90.0,2110,70.315925
305.0,2204,70.960101
180.0,2312,71.636493
60.0,1652,72.120491
65.0,1176,72.467891
140.0,1864,73.014298
170.0,2408,73.717012
105.0,1634,74.198779
210.0,2534,81.846741
110.0,2054,82.448549
30.0,1422,82.866647
265.0,2958,83.725184
50.0,1320,84.113637
230.0,2634,84.878481
80.0,1746,85.392482
110.0,1896,85.951094
185.0,1904,86.511384
210.0,2068,87.113543
85.0,2664,87.891119
55.0,1404,88.305928
270.0,3082,89.193524
85.0,2284,89.858447
160.0,2676,90.639628
275.0,1906,91.201602
115.0,1938,91.76844
165.0,1998,92.352366
55.0,1182,92.700365
35.0,1320,93.092494
260.0,3009,100.861925
195.0,2488,101.584567
55.0,1164,101.928182
120.0,2046,102.530595
210.0,2372,103.225757
85.0,2044,103.826003
80.0,1332,104.219723
110.0,1872,104.761467
395.0,2860,105.607187
270.0,2568,106.35916
240.0,2400,107.05976
110.0,1940,107.632671
425.0,2400,108.330368
155.0,1886,108.886339
215.0,2648,109.659772
210.0,2770,110.46937
215.0,2400,111.169977
65.0,2022,111.765958
65.0,1900,112.32521
130.0,1902,119.780346
80.0,1656,120.263879
95.0,2010,120.851916
110.0,1856,121.394314
60.0,1234,121.757437
215.0,2610,122.522132
210.0,2354,123.210582
210.0,2622,123.972865
210.0,2430,124.681777
105.0,2234,125.334898
335.0,2122,125.955665
225.0,2704,126.746224
145.0,1942,127.316698
105.0,1362,127.718936
105.0,1448,128.146045
120.0,2014,128.742228
15.0,1380,129.153103
50.0,1474,129.590051
205.0,2602,130.351632
135.0,1966,130.929947
120.0,2024,138.425771
310.0,3198,139.350492
195.0,2736,140.146819
120.0,1842,140.689954
65.0,1808,141.224391
135.0,1872,141.769373
245.0,2552,142.510675
180.0,2392,143.204753
55.0,1180,143.550577
150.0,1706,144.049227
115.0,2436,144.763463
145.0,1858,145.308213
35.0,1490,145.745861
150.0,1818,146.276232
115.0,1914,146.838144
80.0,1694,147.332871
180.0,2352,148.02008
120.0,2308,148.694049
15.0,1402,149.124743
150.0,1900,149.680215
40.0,1310,150.062572
160.0,2686,157.752526
140.0,2350,158.437425
110.0,1766,158.954979
230.0,2684,159.735138
80.0,1496,160.173906
230.0,2700,160.958138
105.0,1562,161.416572
120.0,2016,162.011834
95.0,1562,162.472591
210.0,3292,163.428638
165.0,1950,163.996878
120.0,2370,164.687961
155.0,1724,165.189729
110.0,1928,165.756289
90.0,1880,166.312005
275.0,2292,166.98215
180.0,1886,167.530579
150.0,2056,168.128821
110.0,2148,168.760078
105.0,1960,176.218901
135.0,1658,176.703881
335.0,2122,177.325181
80.0,1700,177.824983
55.0,1312,178.209303
125.0,2102,178.823162
105.0,1860,179.363641
85.0,1730,179.870642
80.0,1614,180.343066
150.0,2434,181.055734
180.0,2028,181.651623
55.0,1954,182.227284
105.0,1766,182.744753
115.0,1776,183.269195
210.0,2550,184.01161
205.0,2274,184.680159
45.0,2018,185.275483
210.0,2220,185.92843
180.0,2100,186.544289
210.0,2180,187.186178
300.0,2863,195.469413
285.0,3176,199.926446
75.0,1596,201.50573
155.0,2052,204.326771
215.0,3792,207.524524
135.0,2118,211.49768
105.0,1820,213.782436
75.0,1888,215.496397
105.0,1208,217.174172
90.0,1400,218.477834
230.0,2568,221.859839
65.0,1202,222.861798
105.0,2106,225.725811
205.0,2864,228.455386
190.0,3322,231.739749
130.0,2760,234.827498
185.0,1914,236.635985
185.0,2768,240.478214
80.0,1218,241.698373
470.0,3696,252.416564
65.0,1226,253.432419
185.0,2336,255.612585
90.0,1882,257.233295
100.0,1580,258.538323
55.0,1254,259.808612
110.0,1496,261.218246
110.0,2064,263.187128
65.0,1432,265.307971
65.0,1752,266.793125
50.0,1432,268.280942
160.0,1844,269.984641
55.0,1782,272.153727
150.0,2060,274.02908
420.0,4696,278.501796
105.0,1406,279.634766
50.0,1564,280.950103
30.0,1304,282.052256
175.0,3340,284.88499
110.0,1986,286.719278
80.0,2128,297.558623
100.0,1572,298.864092
155.0,1598,300.206679
180.0,1862,303.203579
440.0,2822,305.772275
105.0,1978,307.421051
90.0,1746,309.11253
380.0,3928,312.546434
120.0,1948,314.108419
65.0,1132,315.109123
520.0,4560,319.111966
105.0,1550,320.402177
85.0,1908,322.416393
315.0,2988,325.171394
50.0,1546,326.371902
125.0,1146,327.271769
65.0,1528,328.458594
80.0,2050,330.072004
255.0,3498,333.836092
215.0,2558,341.576605
180.0,2444,344.400905
45.0,1240,345.467658
160.0,2352,348.372401
160.0,2406,351.268544
170.0,1924,353.16081
40.0,1380,354.399628
30.0,1500,355.701663
210.0,1956,357.427597
60.0,1338,358.68283
155.0,1702,360.043412
120.0,1660,361.640609
40.0,1300,362.712837
355.0,2336,365.009502
50.0,1100,365.923851
65.0,1762,367.418293
235.0,2184,369.314342
330.0,4256,373.246497
60.0,1688,374.683055
105.0,1954,376.57476
135.0,2024,378.453958
105.0,2030,384.877346
75.0,2064,386.523563
355.0,2500,389.046206
120.0,1882,390.541918
140.0,2028,392.76881
110.0,1930,394.575875
365.0,3230,397.289431
105.0,1872,398.897416
225.0,2658,401.130311
35.0,1172,402.154466
340.0,3476,405.158647
225.0,2508,407.463696
55.0,1520,408.89185
80.0,1484,410.140104
125.0,2074,411.991632
360.0,2902,414.457931
35.0,1144,415.47306
65.0,1640,416.932738
105.0,2068,418.84887
90.0,2026,433.239178
230.0,2554,435.41955
260.0,2674,437.778792
105.0,1768,439.457834
85.0,1158,440.446971
260.0,3212,443.510243
170.0,2366,445.615735
95.0,1830,447.164865
35.0,1648,448.578041
260.0,2832,451.534692
195.0,2942,454.145298
120.0,2132,456.077413
