#{"t_start": 1642060556.0430968, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
155.0,1826,16.252142
125.0,1762,22.300314
240.0,2936,38.207186
415.0,2888,48.476326
45.0,1746,63.229085
100.0,1202,67.368995
630.0,3002,87.687455
250.0,2736,97.451191
180.0,2404,114.850825
50.0,1208,119.203628
210.0,2552,130.582507
155.0,2464,148.182118
210.0,2566,158.85367
210.0,2472,175.629647
210.0,2504,185.560871
290.0,3108,205.025625
210.0,2518,215.703293
180.0,2634,233.16215
165.0,2420,242.151825
180.0,2354,259.630571
210.0,2576,269.099837
260.0,2988,285.59657
485.0,2946,297.690681
185.0,2418,314.575243
240.0,2922,334.150174
460.0,2948,345.716307
270.0,2888,364.084207
260.0,3016,374.928745
380.0,2418,390.807799
135.0,2410,401.223368
180.0,2478,417.509698
210.0,2542,427.011506
210.0,2548,443.690159
135.0,1978,450.261694
260.0,2900,468.442308
335.0,2260,476.733879
330.0,3280,496.911319
565.0,4428,519.718813
185.0,2380,529.18588
225.0,2872,547.367153
260.0,2950,558.998347
410.0,2474,575.309105
290.0,2906,585.834102
155.0,2530,602.565787
155.0,2420,611.973307
240.0,2904,631.125135
265.0,2834,642.213787
260.0,2844,659.911599
285.0,2876,678.998801
260.0,2942,689.826551
240.0,2982,709.121849
450.0,4604,733.620646
210.0,2394,742.458698
260.0,2982,757.519286
350.0,2350,767.796101
210.0,2514,783.832205
410.0,2764,793.728011
275.0,3052,811.974141
180.0,2426,820.282474
105.0,2276,836.822941
210.0,2544,848.038405
155.0,2336,864.401474
260.0,2906,875.249354
590.0,4380,899.674931
510.0,3360,921.017169
140.0,1544,926.681382
305.0,3242,942.657049
235.0,2452,951.655629
250.0,2556,965.364648
65.0,1638,971.997983
75.0,1064,975.763305
220.0,2086,991.935016
265.0,2428,1001.227319
220.0,2154,1008.830015
310.0,2660,1026.829514
185.0,2522,1036.628285
110.0,1066,1047.709349
455.0,3658,1060.754775
95.0,1348,1072.101195
330.0,2678,1081.643188
360.0,2960,1101.225631
240.0,2008,1107.833414
170.0,2006,1123.783709
85.0,1666,1129.573487
220.0,2552,1138.889509
455.0,3244,1157.220949
140.0,1548,1162.942715
155.0,2004,1178.550364
315.0,3540,1191.683585
255.0,2817,1209.477868
230.0,2934,1227.267512
655.0,3750,1242.342916
255.0,2778,1262.285855
280.0,2780,1272.022752
150.0,1894,1287.376426
290.0,3016,1298.200985
135.0,2034,1315.207722
355.0,2846,1325.542794
130.0,1792,1341.610487
700.0,4584,1368.078495
490.0,3688,1381.187131
255.0,2668,1397.722928
545.0,2812,1408.237545
200.0,1892,1423.297785
255.0,2576,1432.221859
180.0,2006,1446.949916
180.0,2318,1455.384636
290.0,2774,1469.936184
175.0,1988,1476.973392
600.0,4576,1501.074906
475.0,2672,1510.463814
350.0,2972,1529.319464
155.0,1834,1535.903296
375.0,2810,1553.678188
50.0,1512,1558.844393
500.0,3786,1576.555576
385.0,2840,1594.023909
335.0,2524,1603.381557
155.0,2344,1624.077416
265.0,2754,1634.616818
505.0,2664,1650.055675
350.0,3328,1661.651732
630.0,2966,1680.27693
335.0,2512,1689.750519
175.0,2128,1704.421575
255.0,2292,1712.544469
470.0,3618,1734.770111
320.0,2326,1743.857976
330.0,2544,1761.145015
150.0,2254,1769.709042
450.0,3522,1793.005647
435.0,3448,1812.535039
390.0,2512,1822.149988
165.0,1480,1827.683168
255.0,2304,1846.696519
115.0,1636,1852.593009
480.0,3704,1874.518687
265.0,2550,1884.313601
400.0,3348,1902.996677
185.0,1898,1910.897796
505.0,2774,1926.323632
195.0,1596,1932.03135
220.0,2000,1946.523387
305.0,2922,1956.976308
220.0,2656,1977.202238
195.0,2238,1985.596203
275.0,2404,1997.425851
135.0,1826,2004.149339
155.0,2140,2018.586886
355.0,2792,2028.366586
170.0,2162,2035.89956
180.0,2400,2055.570871
220.0,1890,2061.929415
325.0,2952,2081.22681
