#{"t_start": 1640864053.790724, "env_id": "Hopper-v3"}
r,l,t
12.9263,15,5.694907
9.7843,13,5.700215
15.84761,18,5.707522
9.569832,12,5.712181
11.113968,16,5.718772
15.63077,18,5.725964
10.318102,14,5.731613
22.229505,31,5.744092
32.751059,52,5.765255
12.823848,15,5.771198
10.582072,25,5.781285
9.222726,15,5.787275
11.074478,16,5.794085
9.743448,13,5.799216
6.831891,11,5.803631
8.929667,14,5.809244
7.238757,14,5.815058
28.288524,38,5.830535
11.543137,13,5.835667
11.954365,15,5.841671
5.628617,8,5.845136
21.731597,44,5.862642
19.497723,25,5.872884
16.465054,16,5.879378
11.86725,14,5.885033
28.304223,25,5.895095
20.873645,32,5.908254
24.534906,24,5.917918
22.601196,28,5.929887
34.67881,36,5.944472
16.810863,28,5.955761
8.739248,22,5.964645
9.530162,13,5.969984
7.493441,13,5.975303
12.568955,19,5.982946
27.810684,24,5.992508
27.245,30,6.004828
11.543006,19,6.012479
68.058936,52,6.033427
12.827311,26,6.044026
29.33905,25,6.05411
13.528636,17,6.060846
15.393756,21,6.06939
12.174581,16,6.075777
8.375104,18,6.083287
10.745622,13,6.088352
10.8184,23,6.097643
9.579727,12,6.102287
16.782113,17,6.109545
9.927507,17,6.116365
15.07769,17,6.123077
9.254763,11,6.127429
70.973483,56,6.149738
134.874731,91,6.18484
10.517191,16,6.191177
7.389967,11,6.195598
21.167571,20,6.203923
9.043434,14,6.209384
11.932425,21,6.217915
7.918413,12,6.222603
11.993791,14,6.228429
20.636287,23,6.237727
6.869898,22,6.246603
12.705267,29,6.258263
8.497492,25,6.268573
12.861507,21,6.276923
12.651177,14,6.282458
8.598414,16,6.288906
5.89636,15,6.295186
10.649023,13,6.300227
7.913774,14,6.305832
23.376178,38,6.321182
12.004385,21,6.32974
6.922355,27,6.340483
8.347265,10,6.344501
18.363418,22,6.353275
6.315998,11,6.357818
14.59986,24,6.367528
10.785199,28,6.378796
17.303604,40,6.394861
7.721767,10,6.399056
17.754212,20,6.407047
20.639996,33,6.420276
13.609638,19,6.428087
12.793422,14,6.433727
15.376482,15,6.439764
18.457626,24,6.449402
15.131417,17,6.456099
19.624254,27,6.467205
7.160614,13,6.472308
10.238807,13,6.477527
10.257212,17,6.484285
9.99776,14,6.490039
26.857414,35,6.504151
15.699602,18,6.511326
11.004837,16,6.517655
6.395983,9,6.52139
23.168428,26,6.531962
5.849141,10,6.535991
17.779596,17,6.542571
7.099866,10,6.546923
51.419472,52,6.567811
15.608758,20,6.575826
10.201376,12,6.580482
33.091474,37,6.595568
18.537583,19,6.603128
9.174598,13,6.608309
8.066165,14,6.61386
13.448322,20,6.622058
7.200146,9,6.625517
21.582976,21,6.633907
14.391782,29,6.645448
9.681994,14,6.651271
8.969433,32,6.664032
22.130127,26,6.674388
7.212356,15,6.680472
12.590606,16,6.687113
12.00601,14,6.69252
8.994432,23,6.701704
10.898409,13,6.706891
11.223491,14,6.7126
24.539576,28,6.723992
15.632191,24,6.73372
24.707953,32,6.746501
14.746342,38,6.76187
12.07779,14,6.767374
36.935443,49,6.786901
26.875195,27,6.797834
22.916765,20,6.806094
13.10571,15,6.812115
13.233157,36,6.826581
6.721965,9,6.830149
7.294377,13,6.835619
36.113942,27,6.84665
19.934614,19,6.854211
7.591999,10,6.858114
19.605143,24,6.86793
16.36414,19,6.875499
12.86818,15,6.881342
14.338743,23,6.890586
87.688178,64,6.916496
10.655377,21,6.924887
16.628552,21,6.933342
7.583447,10,6.937344
15.631834,20,6.945595
35.888605,30,6.957533
20.991486,29,6.969216
12.11474,22,6.978018
13.998663,22,6.98703
8.890845,12,6.991717
16.96643,31,7.004311
6.977717,15,7.010272
8.129498,11,7.014942
27.239979,49,7.034425
29.677656,26,7.04482
11.054328,17,7.051609
8.198285,27,7.062828
16.853986,33,7.076148
14.1802,18,7.083341
11.386338,22,7.092121
11.451219,14,7.097879
6.389765,11,7.102238
4.473155,9,7.105866
11.518499,25,7.115797
8.983955,15,7.122051
7.228435,11,7.126506
29.687114,23,7.135631
9.121569,13,7.140592
10.776857,16,7.147113
17.953211,18,7.154207
11.045092,14,7.159814
15.591575,16,7.166214
6.629761,9,7.169941
16.498559,16,7.176463
6.609023,16,7.18287
10.783161,18,7.190019
13.065041,19,7.198072
9.340666,11,7.202284
22.721961,24,7.211837
9.232813,15,7.217661
66.431876,45,7.235753
34.52218,34,7.249613
26.703199,30,7.261699
15.443485,19,7.269379
12.856645,17,7.276378
8.12159,14,7.281948
18.383463,18,7.289105
34.241611,42,7.305704
14.966968,26,7.316363
8.474882,17,7.323251
18.5042,23,7.332426
10.567239,15,7.338324
9.059817,13,7.343772
17.454104,18,7.354218
14.100991,20,7.36247
15.138038,17,7.369062
13.197102,16,7.375708
9.074234,14,7.381222
10.686012,14,7.386698
6.945897,14,7.392356
13.8881,18,7.399784
17.967938,28,7.411356
14.769903,29,7.422863
10.004429,18,7.430077
7.161324,11,7.434771
19.850323,26,7.445185
10.109178,12,7.449943
13.214656,27,7.46082
17.145777,19,7.468775
12.987705,25,7.478913
17.724725,18,7.486145
14.034065,15,7.492068
16.998998,19,7.499812
8.565782,16,7.506327
21.874441,25,7.516246
15.338781,32,7.529017
10.554826,22,7.537987
117.024642,71,7.56609
15.576295,24,7.575756
11.370109,19,7.583416
10.480997,20,7.591669
7.984868,12,7.596454
9.000301,22,7.605258
8.011186,12,7.609933
10.647923,14,7.615556
7.990354,10,7.619496
10.29854,12,7.624255
8.379377,11,7.628555
12.065236,18,7.636043
14.371032,21,7.644441
6.187953,12,7.649242
8.977322,17,7.656008
30.86342,34,7.669929
19.536673,22,7.678824
16.653152,33,7.692093
12.289718,16,7.698452
9.052728,13,7.703788
8.549857,15,7.709984
21.018405,34,7.723782
18.031694,26,7.734234
8.437791,12,7.739228
16.250005,19,7.746794
8.385271,12,7.751473
10.377956,18,7.758769
11.084018,14,7.764503
31.079717,41,7.780997
109.932197,62,7.805911
19.157364,24,7.81571
37.611594,54,7.837873
9.00426,12,7.84259
18.91561,30,7.854714
19.661366,20,7.862814
29.604612,40,7.879015
9.332969,18,7.886232
34.971567,42,7.903121
15.830429,18,7.910344
15.031741,38,7.925556
11.933522,16,7.93189
36.408675,29,7.943429
22.106528,28,7.954741
6.913918,11,7.959565
10.871846,16,7.966031
13.642931,29,7.977298
9.388677,13,7.982467
11.718877,15,7.988716
11.820993,17,7.995501
18.998682,19,8.002948
6.122458,15,8.008906
11.015722,14,8.014639
29.50663,24,8.024104
13.76454,15,8.03007
13.926548,18,8.037384
16.113597,22,8.046438
11.648107,14,8.051827
9.838389,13,8.056838
